day_type,hour,period,demand,cur_cap_ngpt,rein_cap_ngpt,deficit_cur,deficit_rein,shuttle_needed,load_cur_pct,load_rein_pct
будний,6,ранний,745,351,615,394,130,1,212,121
будний,7,утренний_пик,1971,615,1319,1356,652,2,320,149
будний,8,утренний_пик,2629,615,1319,2014,1310,3,427,199
будний,9,утренний_пик,1586,615,1319,971,267,1,258,120
будний,10,дневной,1072,440,881,632,191,1,244,122
будний,11,дневной,960,440,881,520,79,1,218,109
будний,12,дневной,897,440,881,457,16,1,204,102
будний,13,дневной,996,440,881,556,115,1,226,113
будний,14,дневной,1062,440,881,622,181,1,241,121
будний,15,дневной,1182,440,881,742,301,1,269,134
будний,16,дневной,1427,440,881,987,546,1,324,162
будний,17,вечерний_пик,1787,615,1319,1172,468,1,291,135
будний,18,вечерний_пик,1850,615,1319,1235,531,1,301,140
будний,19,вечерний_пик,979,615,1319,364,0,0,159,74
будний,20,вечерний_пик,669,615,1319,54,0,0,109,51
будний,21,поздний,418,351,615,67,0,0,119,68
будний,22,поздний,256,351,615,0,0,0,73,42
будний,23,поздний,104,351,615,0,0,0,30,17
выходной,6,ранний,297,351,615,0,0,0,85,48
выходной,7,утренний_пик,432,615,1319,0,0,0,70,33
выходной,8,утренний_пик,618,615,1319,3,0,0,100,47
выходной,9,утренний_пик,699,615,1319,84,0,0,114,53
выходной,10,дневной,666,440,881,226,0,0,151,76
выходной,11,дневной,752,440,881,312,0,0,171,85
выходной,12,дневной,802,440,881,362,0,0,182,91
выходной,13,дневной,832,440,881,392,0,0,189,94
выходной,14,дневной,908,440,881,468,27,1,206,103
выходной,15,дневной,816,440,881,376,0,0,185,93
выходной,16,дневной,800,440,881,360,0,0,182,91
выходной,17,вечерний_пик,822,615,1319,207,0,0,134,62
выходной,18,вечерний_пик,705,615,1319,90,0,0,115,53
выходной,19,вечерний_пик,579,615,1319,0,0,0,94,44
выходной,20,вечерний_пик,436,615,1319,0,0,0,71,33
выходной,21,поздний,381,351,615,30,0,0,109,62
выходной,22,поздний,276,351,615,0,0,0,79,45
выходной,23,поздний,120,351,615,0,0,0,34,20
