date,weekday,is_weekend,hour,entries
2025-03-10,Понедельник,0,0,43
2025-03-10,Понедельник,0,1,3
2025-03-10,Понедельник,0,5,95
2025-03-10,Понедельник,0,6,801
2025-03-10,Понедельник,0,7,2033
2025-03-10,Понедельник,0,8,2630
2025-03-10,Понедельник,0,9,1627
2025-03-10,Понедельник,0,10,1091
2025-03-10,Понедельник,0,11,848
2025-03-10,Понедельник,0,12,871
2025-03-10,Понедельник,0,13,1052
2025-03-10,Понедельник,0,14,1091
2025-03-10,Понедельник,0,15,1126
2025-03-10,Понедельник,0,16,1311
2025-03-10,Понедельник,0,17,1685
2025-03-10,Понедельник,0,18,1929
2025-03-10,Понедельник,0,19,976
2025-03-10,Понедельник,0,20,650
2025-03-10,Понедельник,0,21,379
2025-03-10,Понедельник,0,22,243
2025-03-10,Понедельник,0,23,86
2025-03-11,Вторник,0,0,24
2025-03-11,Вторник,0,1,4
2025-03-11,Вторник,0,4,2
2025-03-11,Вторник,0,5,117
2025-03-11,Вторник,0,6,811
2025-03-11,Вторник,0,7,1942
2025-03-11,Вторник,0,8,2742
2025-03-11,Вторник,0,9,1667
2025-03-11,Вторник,0,10,884
2025-03-11,Вторник,0,11,1230
2025-03-11,Вторник,0,12,990
2025-03-11,Вторник,0,13,1068
2025-03-11,Вторник,0,14,1105
2025-03-11,Вторник,0,15,1280
2025-03-11,Вторник,0,16,1447
2025-03-11,Вторник,0,17,1901
2025-03-11,Вторник,0,18,1863
2025-03-11,Вторник,0,19,922
2025-03-11,Вторник,0,20,645
2025-03-11,Вторник,0,21,417
2025-03-11,Вторник,0,22,253
2025-03-11,Вторник,0,23,103
2025-03-12,Среда,0,0,35
2025-03-12,Среда,0,1,10
2025-03-12,Среда,0,2,3
2025-03-12,Среда,0,3,1
2025-03-12,Среда,0,4,2
2025-03-12,Среда,0,5,102
2025-03-12,Среда,0,6,677
2025-03-12,Среда,0,7,2033
2025-03-12,Среда,0,8,2646
2025-03-12,Среда,0,9,1605
2025-03-12,Среда,0,10,1180
2025-03-12,Среда,0,11,854
2025-03-12,Среда,0,12,778
2025-03-12,Среда,0,13,913
2025-03-12,Среда,0,14,1062
2025-03-12,Среда,0,15,1200
2025-03-12,Среда,0,16,1372
2025-03-12,Среда,0,17,1846
2025-03-12,Среда,0,18,1986
2025-03-12,Среда,0,19,1005
2025-03-12,Среда,0,20,646
2025-03-12,Среда,0,21,405
2025-03-12,Среда,0,22,250
2025-03-12,Среда,0,23,93
2025-03-13,Четверг,0,0,33
2025-03-13,Четверг,0,1,4
2025-03-13,Четверг,0,5,123
2025-03-13,Четверг,0,6,772
2025-03-13,Четверг,0,7,1955
2025-03-13,Четверг,0,8,2618
2025-03-13,Четверг,0,9,1527
2025-03-13,Четверг,0,10,1147
2025-03-13,Четверг,0,11,941
2025-03-13,Четверг,0,12,926
2025-03-13,Четверг,0,13,1027
2025-03-13,Четверг,0,14,929
2025-03-13,Четверг,0,15,1147
2025-03-13,Четверг,0,16,1404
2025-03-13,Четверг,0,17,1881
2025-03-13,Четверг,0,18,1925
2025-03-13,Четверг,0,19,1085
2025-03-13,Четверг,0,20,739
2025-03-13,Четверг,0,21,434
2025-03-13,Четверг,0,22,261
2025-03-13,Четверг,0,23,106
2025-03-14,Пятница,0,0,47
2025-03-14,Пятница,0,1,2
2025-03-14,Пятница,0,2,2
2025-03-14,Пятница,0,3,1
2025-03-14,Пятница,0,4,3
2025-03-14,Пятница,0,5,107
2025-03-14,Пятница,0,6,663
2025-03-14,Пятница,0,7,1892
2025-03-14,Пятница,0,8,2507
2025-03-14,Пятница,0,9,1505
2025-03-14,Пятница,0,10,1058
2025-03-14,Пятница,0,11,926
2025-03-14,Пятница,0,12,922
2025-03-14,Пятница,0,13,918
2025-03-14,Пятница,0,14,1122
2025-03-14,Пятница,0,15,1158
2025-03-14,Пятница,0,16,1601
2025-03-14,Пятница,0,17,1622
2025-03-14,Пятница,0,18,1549
2025-03-14,Пятница,0,19,909
2025-03-14,Пятница,0,20,665
2025-03-14,Пятница,0,21,453
2025-03-14,Пятница,0,22,275
2025-03-14,Пятница,0,23,133
2025-03-15,Суббота,1,0,52
2025-03-15,Суббота,1,1,3
2025-03-15,Суббота,1,2,1
2025-03-15,Суббота,1,5,73
2025-03-15,Суббота,1,6,354
2025-03-15,Суббота,1,7,554
2025-03-15,Суббота,1,8,765
2025-03-15,Суббота,1,9,772
2025-03-15,Суббота,1,10,802
2025-03-15,Суббота,1,11,742
2025-03-15,Суббота,1,12,845
2025-03-15,Суббота,1,13,878
2025-03-15,Суббота,1,14,1034
2025-03-15,Суббота,1,15,869
2025-03-15,Суббота,1,16,863
2025-03-15,Суббота,1,17,876
2025-03-15,Суббота,1,18,777
2025-03-15,Суббота,1,19,652
2025-03-15,Суббота,1,20,509
2025-03-15,Суббота,1,21,402
2025-03-15,Суббота,1,22,343
2025-03-15,Суббота,1,23,137
2025-03-16,Воскресенье,1,0,61
2025-03-16,Воскресенье,1,1,4
2025-03-16,Воскресенье,1,5,59
2025-03-16,Воскресенье,1,6,240
2025-03-16,Воскресенье,1,7,309
2025-03-16,Воскресенье,1,8,471
2025-03-16,Воскресенье,1,9,626
2025-03-16,Воскресенье,1,10,531
2025-03-16,Воскресенье,1,11,762
2025-03-16,Воскресенье,1,12,758
2025-03-16,Воскресенье,1,13,786
2025-03-16,Воскресенье,1,14,783
2025-03-16,Воскресенье,1,15,764
2025-03-16,Воскресенье,1,16,737
2025-03-16,Воскресенье,1,17,767
2025-03-16,Воскресенье,1,18,633
2025-03-16,Воскресенье,1,19,506
2025-03-16,Воскресенье,1,20,363
2025-03-16,Воскресенье,1,21,360
2025-03-16,Воскресенье,1,22,209
2025-03-16,Воскресенье,1,23,102
2025-03-17,Понедельник,0,0,2
